testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,src_to_target,4,False,True,0.018071600003167987,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_src_to_z88,0,True,False,0.01630489999661222,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_src_to_z88,1,False,True,0.015436200017575175,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_src_to_z88,2,False,True,0.015190000005532056,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_src_to_z88,3,False,True,0.015008900023531169,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_src_to_z88,4,False,True,0.015309799986425787,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_z88_to_json,0,True,False,0.014328200020827353,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_z88_to_json,1,False,True,0.013429899991024286,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_z88_to_json,2,False,True,0.014953000005334616,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_z88_to_json,3,False,True,0.013683199998922646,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,rt_z88_to_json,4,False,True,0.012994499993510544,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,src_to_target,0,True,False,0.024405299976933748,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,src_to_target,1,False,True,0.022258399985730648,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,src_to_target,2,False,True,0.01953209994826466,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,src_to_target,3,False,True,0.019697299983818084,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,src_to_target,4,False,True,0.01946849998785183,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_src_to_z88,0,True,False,0.024040799995418638,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_src_to_z88,1,False,True,0.02480949996970594,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_src_to_z88,2,False,True,0.023388999979943037,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_src_to_z88,3,False,True,0.025346900045406073,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_src_to_z88,4,False,True,0.023435500042978674,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_z88_to_json,0,True,False,0.014747300010640174,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_z88_to_json,1,False,True,0.01367379998555407,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_z88_to_json,2,False,True,0.013814199948683381,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_z88_to_json,3,False,True,0.013795599981676787,5,1
#11/academic_rotor.cdb,#11,ansys,ansys,roundtrip,rt_z88_to_json,4,False,True,0.01396580005530268,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,src_to_target,0,True,False,0.02548940002452582,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,src_to_target,1,False,True,0.01958070002729073,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,src_to_target,2,False,True,0.018752000003587455,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,src_to_target,3,False,True,0.018780299986246973,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,src_to_target,4,False,True,0.019239199988078326,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_src_to_z88,0,True,False,0.018685400020331144,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_src_to_z88,1,False,True,0.01755980000598356,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_src_to_z88,2,False,True,0.01708880002843216,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_src_to_z88,3,False,True,0.017591599957086146,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_src_to_z88,4,False,True,0.016813699970953166,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_z88_to_json,0,True,False,0.01439530000789091,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_z88_to_json,1,False,True,0.014909700024873018,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_z88_to_json,2,False,True,0.013540600019041449,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_z88_to_json,3,False,True,0.0126083999639377,5,1
#11/academic_rotor.cdb,#11,ansys,nastran,roundtrip,rt_z88_to_json,4,False,True,0.012462699960451573,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,src_to_target,0,True,False,0.02032160002272576,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,src_to_target,1,False,True,0.018501799961086363,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,src_to_target,2,False,True,0.018386200012173504,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,src_to_target,3,False,True,0.01948930002981797,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,src_to_target,4,False,True,0.02024480002000928,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_src_to_z88,0,True,False,0.017381199984811246,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_src_to_z88,1,False,True,0.015524599992204458,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_src_to_z88,2,False,True,0.015368399966973811,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_src_to_z88,3,False,True,0.015473099949304014,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_src_to_z88,4,False,True,0.015915800002403557,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_z88_to_json,0,True,False,0.014366000017616898,5,1
